		strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM001037	>FRAACOPRA_v1_50081|ID:78954835|pbpA| Penicillin-binding protein A [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001038	>FRAACOPRA_v1_50082|ID:78954836| Non-specific serine/threonine protein kinase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001039	>FRAACOPRA_v1_50083|ID:78954837| Non-specific serine/threonine protein kinase [Frankia AcoPRA]	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2
33_frankia_FAM001040	>FRAACOPRA_v1_50084|ID:78954838|trpG| Anthranilate synthase component 2 [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	1	1	1	1	2	1
33_frankia_FAM001041	>FRAACOPRA_v1_50086|ID:78954840| protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1
33_frankia_FAM001042	>FRAACOPRA_v1_50085|ID:78954839|crgA| Cell division protein CrgA [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001043	>FRAACOPRA_v1_50087|ID:78954841| Putative translation initiation inhibitor, yjgF family [Frankia AcoPRA]	1	3	3	3	3	3	2	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	2	3	1	2
33_frankia_FAM001044	>FRAACOPRA_v1_50088|ID:78954842| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM001045	>FRAACOPRA_v1_50089|ID:78954843| Trehalase [Frankia AcoPRA]	4	4	3	4	4	4	1	4	4	4	4	4	3	3	3	3	3	3	4	1	2	2	4	3	3	3	3	3	3	3	4	3	4
33_frankia_FAM001046	>FRAACOPRA_v1_50090|ID:78954844| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001047	>FRAACOPRA_v1_50091|ID:78954845| Putative membrane protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001048	>FRAACOPRA_v1_50092|ID:78954846|cypB| Peptidyl-prolyl cis-trans isomerase B [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001049	>FRAACOPRA_v1_50094|ID:78954848| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001050	>FRAACOPRA_v1_50095|ID:78954849|choD| Cholesterol oxidase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001051	>FRAACOPRA_v1_50096|ID:78954850| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1
33_frankia_FAM001052	>FRAACOPRA_v1_50099|ID:78954853| Calpain catalytic domain-containing protein [Frankia AcoPRA]	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001053	>FRAACOPRA_v1_50101|ID:78954855| conserved membrane protein of unknown function [Frankia AcoPRA]	2	3	3	3	3	3	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	2	1	1	3	1	2	1	2
33_frankia_FAM001054	>FRAACOPRA_v1_50103|ID:78954857| Putative RND superfamily exporter [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	3	0	1	1	2	1	1	1	1	1
33_frankia_FAM001055	>FRAACOPRA_v1_50104|ID:78954858|ahcY| Adenosylhomocysteinase [Frankia AcoPRA]	1	2	2	2	2	2	1	2	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
33_frankia_FAM001056	>FRAACOPRA_v1_50106|ID:78954860| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001057	>FRAACOPRA_v1_50107|ID:78954861| Putative acyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM001058	>FRAACOPRA_v1_50108|ID:78954862| Negative regulator of beta-lactamase expression [Frankia AcoPRA]	2	1	2	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	3	3	1	1	2	1	2	1	1
33_frankia_FAM001059	>FRAACOPRA_v1_50109|ID:78954863|garK| Glycerate 2-kinase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1
33_frankia_FAM001060	>FRAACOPRA_v1_50111|ID:78954865| Polyketide_cyc domain-containing protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	2	1	1	1	0	4
33_frankia_FAM001061	>FRAACOPRA_v1_50112|ID:78954866| CTP synthase (glutamine hydrolyzing) [Frankia AcoPRA]	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM001062	>FRAACOPRA_v1_50115|ID:78954869|cspD| cold-shock protein, molecular chaperone, RNA-helicase co-factor [Frankia AcoPRA]	3	4	5	3	4	3	3	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	4	3	2	4	4	4	4	3
33_frankia_FAM001063	>FRAACOPRA_v1_50117|ID:78954871| Transcriptional regulator, ArsR family [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001064	>FRAACOPRA_v1_50118|ID:78954872|rcp| Response regulator Rcp1 [Frankia AcoPRA]	5	6	4	5	5	5	0	2	4	1	4	4	3	3	3	3	3	3	3	1	1	0	1	3	2	4	4	2	2	5	5	1	5
33_frankia_FAM001065	>FRAACOPRA_v1_50119|ID:78954873| Putative membrane protein [Frankia AcoPRA]	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001066	>FRAACOPRA_v1_50120|ID:78954874|fdxA| Ferredoxin [Frankia AcoPRA]	3	4	4	3	4	3	3	3	3	3	2	2	3	3	3	3	3	3	2	1	1	1	1	3	3	3	3	3	3	2	2	3	3
33_frankia_FAM001067	>FRAACOPRA_v1_50125|ID:78954879|hesA| Protein HesA, heterocyst [Frankia AcoPRA]	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0
33_frankia_FAM001068	>FRAACOPRA_v1_50126|ID:78954880|nifU| Nitrogen fixation protein NifU [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001069	>FRAACOPRA_v1_50127|ID:78954881|nifB| FeMo cofactor biosynthesis protein NifB [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001070	>FRAACOPRA_v1_50128|ID:78954882|nifZ| Protein NifZ [Frankia AcoPRA]	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001071	>FRAACOPRA_v1_50129|ID:78954883|nifW| Nitrogenase-stabilizing/protective protein NifW [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001072	>FRAACOPRA_v1_50130|ID:78954884| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001073	>FRAACOPRA_v1_50131|ID:78954885| NifX-associated protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001074	>FRAACOPRA_v1_50132|ID:78954886|nifX| Protein NifX [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001075	>FRAACOPRA_v1_50133|ID:78954887| Nitrogenase FeMo-cofactor scaffold and assembly protein NifN [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001076	>FRAACOPRA_v1_50134|ID:78954888|nifE| Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001077	>FRAACOPRA_v1_50136|ID:78954890|nifK| Nitrogenase molybdenum-iron protein beta chain [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001078	>FRAACOPRA_v1_50137|ID:78954891|nifD| Nitrogenase molybdenum-iron protein alpha chain [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001079	>FRAACOPRA_v1_50138|ID:78954892|nifH| Nitrogenase iron protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001080	>FRAACOPRA_v1_50139|ID:78954893|nifV| Homocitrate synthase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001081	>FRAACOPRA_v1_50140|ID:78954894| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001082	>FRAACOPRA_v1_50141|ID:78954895| TetR family transcriptional regulator [Frankia AcoPRA]	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001083	>FRAACOPRA_v1_50146|ID:78954900| Transcriptional regulator [Frankia AcoPRA]	4	5	7	8	5	8	4	7	4	6	4	3	2	2	2	2	2	2	3	1	1	1	2	7	6	8	5	5	10	6	9	4	7
33_frankia_FAM001084	>FRAACOPRA_v1_50148|ID:78954902|shc| Squalene--hopene cyclase [Frankia AcoPRA]	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	0	1	0	1	2	2	2	2	2	2	1	1	1	2
33_frankia_FAM001085	>FRAACOPRA_v1_50151|ID:78954905|mhuD| Heme oxygenase (mycobilin-producing) [Frankia AcoPRA]	1	2	1	2	2	2	2	1	1	1	0	0	1	1	1	1	1	1	1	0	1	2	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM001086	>FRAACOPRA_v1_50152|ID:78954906| HEPN_RiboL-PSP domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
33_frankia_FAM001087	>FRAACOPRA_v1_50153|ID:78954907| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
33_frankia_FAM001088	>FRAACOPRA_v1_50155|ID:78954909| conserved membrane protein of unknown function [Frankia AcoPRA]	1	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1
33_frankia_FAM001089	>FRAACOPRA_v1_50156|ID:78954910| HIT domain-containing protein [Frankia AcoPRA]	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	2	2	1	1	2	2	1	2	1	1
33_frankia_FAM001090	>FRAACOPRA_v1_50160|ID:78954914| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001091	>FRAACOPRA_v1_50170|ID:78954924| HD domain-containing protein [Frankia AcoPRA]	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1
33_frankia_FAM001092	>FRAACOPRA_v1_50171|ID:78954925| ADP-ribose pyrophosphatase [Frankia AcoPRA]	5	4	4	4	4	6	3	5	4	4	4	4	6	6	6	4	6	6	5	5	5	3	3	6	7	6	7	9	7	9	3	5	6
33_frankia_FAM001093	>FRAACOPRA_v1_50172|ID:78954926| Helix-turn-helix domain [Frankia AcoPRA]	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0
33_frankia_FAM001094	>FRAACOPRA_v1_50174|ID:78954928| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	2	1	1	1	0	1	1	2	3	2	2	3	3	2	0	1	1	0	4	2	3	2	2	1	1	3	1	0
33_frankia_FAM001095	>FRAACOPRA_v1_50175|ID:78954929| Transcriptional regulator, XRE family [Frankia AcoPRA]	1	2	0	1	1	4	0	2	2	0	2	2	2	3	2	2	3	3	2	4	1	5	1	4	3	3	2	1	2	1	5	2	5
33_frankia_FAM001096	>FRAACOPRA_v1_50176|ID:78954930| conserved protein of unknown function [Frankia AcoPRA]	1	2	0	1	0	3	0	2	0	0	0	0	3	3	3	3	3	3	3	2	2	4	1	4	2	3	2	2	1	1	3	1	1
33_frankia_FAM001097	>FRAACOPRA_v1_50177|ID:78954931| conserved protein of unknown function [Frankia AcoPRA]	1	2	0	1	0	3	0	1	0	0	0	0	2	3	2	1	3	3	2	1	1	5	1	3	2	3	2	1	0	1	3	1	0
33_frankia_FAM001098	>FRAACOPRA_v1_50178|ID:78954932| FtsK/SpoIIIE family protein [Frankia AcoPRA]	1	3	1	1	0	3	0	1	0	1	0	0	3	3	3	3	3	3	2	2	1	4	1	4	2	3	4	1	1	1	3	2	1
33_frankia_FAM001099	>FRAACOPRA_v1_50180|ID:78954934| protein of unknown function [Frankia AcoPRA]	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	4	0	3	0	1	1	0	1	0	0	0	0
33_frankia_FAM001100	>FRAACOPRA_v1_50179|ID:78954933|repSA| Replication initiator protein [Frankia AcoPRA]	1	2	0	1	0	3	0	1	0	0	0	0	1	3	1	1	3	3	1	0	0	1	1	4	1	3	3	0	1	0	3	1	0
33_frankia_FAM001101	>FRAACOPRA_v1_50181|ID:78954935| DNA-binding protein, excisionase family [Frankia AcoPRA]	4	6	2	4	5	11	7	6	8	6	9	9	5	7	5	7	6	7	10	8	7	14	5	10	9	9	11	7	11	10	8	9	8
33_frankia_FAM001102	>FRAACOPRA_v1_50183|ID:78954937| Site-specific recombinase XerD [Frankia AcoPRA]	2	1	0	1	0	3	4	1	4	3	3	3	5	5	5	4	5	5	4	3	3	8	1	4	4	2	4	1	2	2	3	4	2
33_frankia_FAM001103	>FRAACOPRA_v1_50187|ID:78954941| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
33_frankia_FAM001104	>FRAACOPRA_v1_50188|ID:78954942| MDMPI_N domain-containing protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1
33_frankia_FAM001105	>FRAACOPRA_v1_50189|ID:78954943| ATPase involved in chromosome partitioning [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2	0	1	0	0	2	1	1	1	1
33_frankia_FAM001106	>FRAACOPRA_v1_50190|ID:78954944|arfB| Peptidyl-tRNA hydrolase ArfB [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001107	>FRAACOPRA_v1_50191|ID:78954945| exported protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001108	>FRAACOPRA_v1_50192|ID:78954946| Nuclease-like protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001109	>FRAACOPRA_v1_50193|ID:78954947|egtA| Glutamate--cysteine ligase EgtA [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1
33_frankia_FAM001110	>FRAACOPRA_v1_50194|ID:78954948|egtB| Hercynine oxygenase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001111	>FRAACOPRA_v1_50195|ID:78954949|egtC| Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001112	>FRAACOPRA_v1_50196|ID:78954950|egtD| Histidine N-alpha-methyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
33_frankia_FAM001113	>FRAACOPRA_v1_50197|ID:78954951|ilvD| dihydroxy-acid dehydratase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001114	>FRAACOPRA_v1_50198|ID:78954952| conserved membrane protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM001115	>FRAACOPRA_v1_50199|ID:78954953| Putative enzyme involved in biosynthesis of extracellular polysaccharides [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001116	>FRAACOPRA_v1_50200|ID:78954954| Replicative DNA helicase [Frankia AcoPRA]	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001117	>FRAACOPRA_v1_50201|ID:78954955|rplI| 50S ribosomal subunit protein L9 [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001118	>FRAACOPRA_v1_50202|ID:78954956|rpsR| ribosomal protein S18 [Frankia AcoPRA]	1	2	2	2	2	2	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	0	2	1	1	1	1
33_frankia_FAM001119	>FRAACOPRA_v1_50203|ID:78954957|ssb| Single-stranded DNA-binding protein 2 [Frankia AcoPRA]	2	2	2	2	2	2	4	2	4	4	3	1	2	2	2	2	2	2	3	2	5	3	2	2	4	2	2	5	2	3	2	4	3
33_frankia_FAM001120	>FRAACOPRA_v1_50204|ID:78954958|rpsF| 30S ribosomal protein S6 [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001121	>FRAACOPRA_v1_50205|ID:78954959| protein of unknown function [Frankia AcoPRA]	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM001122	>FRAACOPRA_v1_50206|ID:78954960| Putative membrane protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001123	>FRAACOPRA_v1_50207|ID:78954961| Putative transmembrane protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	0	1	0	1	1	1	1	1	1	1
33_frankia_FAM001124	>FRAACOPRA_v1_50208|ID:78954962| Multimodular transpeptidase-transglycosylase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM001126	>FRAACOPRA_v1_50211|ID:78954965| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001127	>FRAACOPRA_v1_50212|ID:78954966| Putative transcriptional regulator [Frankia AcoPRA]	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001128	>FRAACOPRA_v1_50213|ID:78954967|ino| Inositol-3-phosphate synthase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
33_frankia_FAM001129	>FRAACOPRA_v1_50214|ID:78954968| Arabinose efflux permease family protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0
33_frankia_FAM001130	>FRAACOPRA_v1_50215|ID:78954969| tRNA nucleotidyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
33_frankia_FAM001131	>FRAACOPRA_v1_50216|ID:78954970| ADP-ribose pyrophosphatase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001132	>FRAACOPRA_v1_50217|ID:78954971| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
33_frankia_FAM001133	>FRAACOPRA_v1_50218|ID:78954972|murJ| putative lipid II flippase MurJ [Frankia AcoPRA]	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
33_frankia_FAM001134	>FRAACOPRA_v1_50220|ID:78954974| Serine/threonine protein kinase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001135	>FRAACOPRA_v1_50221|ID:78954975| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001136	>FRAACOPRA_v1_50222|ID:78954976|trxB| Thioredoxin reductase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001137	>FRAACOPRA_v1_50224|ID:78954978|trxA| thioredoxin [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	3	1	3
33_frankia_FAM001138	>FRAACOPRA_v1_50225|ID:78954979| N-acetylmuramoyl-L-alanine amidase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001139	>FRAACOPRA_v1_50227|ID:78954981| N-acetyltransferase domain-containing protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001140	>FRAACOPRA_v1_50228|ID:78954982|parB| putative chromosome-partitioning protein ParB [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM001141	>FRAACOPRA_v1_50230|ID:78954984|rsmG| Ribosomal RNA small subunit methyltransferase G [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
